timestamp;time_elapsed;heading;target_heading;depth;target_depth;speed_ms;trajectory_type;trajectory_params
1777649478.943;1.823;-0.017;0.000;1.215;1.200;0.300;square;side=3.0
1777649479.449;2.329;0.059;0.000;1.214;1.200;0.300;square;side=3.0
1777649479.956;2.836;-0.100;0.000;1.214;1.200;0.300;square;side=3.0
1777649480.462;3.342;-0.001;0.000;1.214;1.200;0.300;square;side=3.0
1777649480.969;3.849;0.128;0.000;1.214;1.200;0.300;square;side=3.0
1777649481.473;4.353;-0.047;0.000;1.214;1.200;0.300;square;side=3.0
1777649481.978;4.858;-0.133;0.000;1.215;1.200;0.300;square;side=3.0
1777649482.483;5.363;0.076;0.000;1.216;1.200;0.300;square;side=3.0
1777649482.989;5.869;0.108;0.000;1.216;1.200;0.300;square;side=3.0
1777649483.493;6.373;-0.113;0.000;1.217;1.200;0.300;square;side=3.0
1777649483.999;6.879;-0.086;0.000;1.218;1.200;0.300;square;side=3.0
1777649484.505;7.385;0.144;0.000;1.219;1.200;0.300;square;side=3.0
1777649485.011;7.891;0.100;0.000;1.220;1.200;0.300;square;side=3.0
1777649485.517;8.397;-0.139;0.000;1.221;1.200;0.300;square;side=3.0
1777649486.025;8.905;-0.090;0.000;1.222;1.200;0.300;square;side=3.0
1777649486.529;9.409;0.157;0.000;1.223;1.200;0.300;square;side=3.0
1777649487.034;9.914;0.124;0.000;1.224;1.200;0.300;square;side=3.0
1777649487.539;10.419;-0.127;0.000;1.225;1.200;0.300;square;side=3.0
1777649488.042;10.922;-0.141;0.000;1.226;1.200;0.300;square;side=3.0
1777649489.958;12.838;-11.940;90.276;1.221;1.200;0.300;square;side=3.0
1777649490.462;13.342;-45.993;90.276;1.217;1.200;0.300;square;side=3.0
1777649490.976;13.856;-90.510;90.276;1.213;1.200;0.300;square;side=3.0
1777649506.878;29.758;86.896;88.082;1.183;1.200;0.300;square;side=3.0
1777649507.385;30.265;87.283;88.082;1.196;1.200;0.300;square;side=3.0
1777649507.894;30.774;87.735;88.082;1.214;1.200;0.300;square;side=3.0
1777649508.400;31.280;88.218;88.082;1.238;1.200;0.300;square;side=3.0
1777649508.904;31.784;88.430;88.082;1.262;1.200;0.300;square;side=3.0
1777649509.411;32.291;88.281;88.082;1.283;1.200;0.300;square;side=3.0
1777649509.918;32.798;87.940;88.082;1.300;1.200;0.300;square;side=3.0
1777649510.424;33.304;87.885;88.082;1.311;1.200;0.300;square;side=3.0
1777649510.929;33.809;88.112;88.082;1.316;1.200;0.300;square;side=3.0
1777649511.435;34.315;88.280;88.082;1.315;1.200;0.300;square;side=3.0
1777649511.941;34.821;88.119;88.082;1.310;1.200;0.300;square;side=3.0
1777649512.448;35.328;87.928;88.082;1.303;1.200;0.300;square;side=3.0
1777649512.954;35.834;88.083;88.082;1.295;1.200;0.300;square;side=3.0
1777649513.460;36.340;88.216;88.082;1.287;1.200;0.300;square;side=3.0
1777649513.966;36.846;88.040;88.082;1.280;1.200;0.300;square;side=3.0
1777649514.470;37.350;87.951;88.082;1.276;1.200;0.300;square;side=3.0
1777649514.976;37.856;88.158;88.082;1.273;1.200;0.300;square;side=3.0
1777649515.482;38.362;88.227;88.082;1.272;1.200;0.300;square;side=3.0
1777649515.987;38.866;87.998;88.082;1.274;1.200;0.300;square;side=3.0
1777649517.900;40.780;77.501;178.015;1.281;1.200;0.300;square;side=3.0
1777649518.405;41.285;44.937;178.015;1.270;1.200;0.300;square;side=3.0
1777649518.909;41.789;0.216;178.015;1.253;1.200;0.300;square;side=3.0
1777649534.956;57.836;174.375;175.526;1.187;1.200;0.300;square;side=3.0
1777649535.462;58.342;174.917;175.526;1.190;1.200;0.300;square;side=3.0
1777649535.969;58.849;175.449;175.526;1.195;1.200;0.300;square;side=3.0
1777649536.475;59.355;175.848;175.526;1.202;1.200;0.300;square;side=3.0
1777649536.980;59.860;175.823;175.526;1.208;1.200;0.300;square;side=3.0
1777649537.485;60.365;175.539;175.526;1.216;1.200;0.300;square;side=3.0
1777649537.990;60.870;175.316;175.526;1.223;1.200;0.300;square;side=3.0
1777649538.496;61.376;175.442;175.526;1.229;1.200;0.300;square;side=3.0
1777649539.002;61.882;175.677;175.526;1.233;1.200;0.300;square;side=3.0
1777649539.508;62.388;175.593;175.526;1.235;1.200;0.300;square;side=3.0
1777649540.015;62.895;175.378;175.526;1.236;1.200;0.300;square;side=3.0
1777649540.521;63.401;175.471;175.526;1.237;1.200;0.300;square;side=3.0
1777649541.025;63.905;175.670;175.526;1.236;1.200;0.300;square;side=3.0
1777649541.530;64.410;175.539;175.526;1.236;1.200;0.300;square;side=3.0
1777649542.034;64.914;175.394;175.526;1.234;1.200;0.300;square;side=3.0
1777649542.540;65.420;175.555;175.526;1.233;1.200;0.300;square;side=3.0
1777649543.045;65.925;175.668;175.526;1.231;1.200;0.300;square;side=3.0
1777649543.552;66.432;175.455;175.526;1.229;1.200;0.300;square;side=3.0
1777649544.058;66.938;175.383;175.526;1.227;1.200;0.300;square;side=3.0
1777649545.970;68.850;165.149;-94.213;1.219;1.200;0.300;square;side=3.0
1777649546.477;69.357;132.160;-94.213;1.216;1.200;0.300;square;side=3.0
1777649546.982;69.862;85.409;-94.213;1.211;1.200;0.300;square;side=3.0
1777649562.987;85.867;-97.623;-96.519;1.182;1.200;0.300;square;side=3.0
1777649563.494;86.374;-97.135;-96.519;1.177;1.200;0.300;square;side=3.0
1777649564.000;86.880;-96.632;-96.519;1.170;1.200;0.300;square;side=3.0
1777649564.506;87.386;-96.202;-96.519;1.162;1.200;0.300;square;side=3.0
1777649565.013;87.893;-96.188;-96.519;1.154;1.200;0.300;square;side=3.0
1777649565.519;88.399;-96.441;-96.519;1.147;1.200;0.300;square;side=3.0
1777649566.024;88.904;-96.742;-96.519;1.142;1.200;0.300;square;side=3.0
1777649566.535;89.415;-96.680;-96.519;1.138;1.200;0.300;square;side=3.0
1777649567.040;89.920;-96.396;-96.519;1.136;1.200;0.300;square;side=3.0
1777649567.545;90.425;-96.346;-96.519;1.136;1.200;0.300;square;side=3.0
1777649568.050;90.930;-96.572;-96.519;1.137;1.200;0.300;square;side=3.0
1777649568.557;91.437;-96.682;-96.519;1.140;1.200;0.300;square;side=3.0
1777649569.064;91.944;-96.484;-96.519;1.142;1.200;0.300;square;side=3.0
1777649569.569;92.449;-96.365;-96.519;1.144;1.200;0.300;square;side=3.0
1777649570.074;92.954;-96.570;-96.519;1.145;1.200;0.300;square;side=3.0
1777649570.580;93.460;-96.668;-96.519;1.147;1.200;0.300;square;side=3.0
1777649571.085;93.965;-96.465;-96.519;1.148;1.200;0.300;square;side=3.0
1777649571.590;94.470;-96.395;-96.519;1.149;1.200;0.300;square;side=3.0
1777649572.097;94.977;-96.604;-96.519;1.150;1.200;0.300;square;side=3.0
