timestamp;time_elapsed;heading;target_heading;depth;target_depth;speed_ms;trajectory_type;trajectory_params
1777646658.065;1.824;0.019;0.000;1.266;1.200;0.300;triangle;side=3.0
1777646658.570;2.328;-0.059;0.000;1.258;1.200;0.300;triangle;side=3.0
1777646659.076;2.835;0.094;0.000;1.247;1.200;0.300;triangle;side=3.0
1777646659.582;3.340;0.001;0.000;1.235;1.200;0.300;triangle;side=3.0
1777646660.093;3.852;-0.129;0.000;1.225;1.200;0.300;triangle;side=3.0
1777646660.599;4.358;0.047;0.000;1.217;1.200;0.300;triangle;side=3.0
1777646661.111;4.870;0.157;0.000;1.210;1.200;0.300;triangle;side=3.0
1777646661.649;5.408;-0.049;0.000;1.207;1.200;0.300;triangle;side=3.0
1777646662.156;5.914;-0.153;0.000;1.206;1.200;0.300;triangle;side=3.0
1777646662.662;6.421;0.051;0.000;1.207;1.200;0.300;triangle;side=3.0
1777646663.168;6.925;0.152;0.000;1.210;1.200;0.300;triangle;side=3.0
1777646663.713;7.472;-0.048;0.000;1.214;1.200;0.300;triangle;side=3.0
1777646664.230;7.988;-0.172;0.000;1.217;1.200;0.300;triangle;side=3.0
1777646664.737;8.496;0.024;0.000;1.220;1.200;0.300;triangle;side=3.0
1777646665.265;9.024;0.151;0.000;1.223;1.200;0.300;triangle;side=3.0
1777646665.773;9.532;-0.040;0.000;1.225;1.200;0.300;triangle;side=3.0
1777646666.293;10.052;-0.131;0.000;1.226;1.200;0.300;triangle;side=3.0
1777646666.799;10.557;0.072;0.000;1.226;1.200;0.300;triangle;side=3.0
1777646667.307;11.065;0.148;0.000;1.225;1.200;0.300;triangle;side=3.0
1777646669.067;12.825;-12.724;119.875;1.219;1.200;0.300;triangle;side=3.0
1777646669.571;13.330;-46.995;119.875;1.215;1.200;0.300;triangle;side=3.0
1777646683.166;26.925;125.986;124.715;1.192;1.200;0.300;triangle;side=3.0
1777646683.671;27.430;125.326;124.715;1.202;1.200;0.300;triangle;side=3.0
1777646684.179;27.937;124.717;124.715;1.216;1.200;0.300;triangle;side=3.0
1777646684.682;28.441;124.304;124.715;1.236;1.200;0.300;triangle;side=3.0
1777646685.190;28.949;124.333;124.715;1.255;1.200;0.300;triangle;side=3.0
1777646685.697;29.456;124.622;124.715;1.272;1.200;0.300;triangle;side=3.0
1777646686.205;29.964;124.929;124.715;1.286;1.200;0.300;triangle;side=3.0
1777646686.716;30.475;124.885;124.715;1.295;1.200;0.300;triangle;side=3.0
1777646687.224;30.982;124.599;124.715;1.299;1.200;0.300;triangle;side=3.0
1777646687.728;31.487;124.551;124.715;1.299;1.200;0.300;triangle;side=3.0
1777646688.239;31.998;124.779;124.715;1.296;1.200;0.300;triangle;side=3.0
1777646688.745;32.504;124.861;124.715;1.292;1.200;0.300;triangle;side=3.0
1777646689.279;33.038;124.663;124.715;1.286;1.200;0.300;triangle;side=3.0
1777646689.790;33.549;124.569;124.715;1.280;1.200;0.300;triangle;side=3.0
1777646690.298;34.056;124.789;124.715;1.274;1.200;0.300;triangle;side=3.0
1777646690.806;34.564;124.866;124.715;1.269;1.200;0.300;triangle;side=3.0
1777646691.331;35.089;124.634;124.715;1.266;1.200;0.300;triangle;side=3.0
1777646691.838;35.597;124.553;124.715;1.264;1.200;0.300;triangle;side=3.0
1777646692.344;36.103;124.763;124.715;1.264;1.200;0.300;triangle;side=3.0
1777646694.213;37.972;114.254;-115.122;1.262;1.200;0.300;triangle;side=3.0
1777646694.719;38.477;78.825;-115.122;1.252;1.200;0.300;triangle;side=3.0
1777646708.174;51.932;-108.979;-110.227;1.190;1.200;0.300;triangle;side=3.0
1777646708.680;52.438;-109.597;-110.227;1.183;1.200;0.300;triangle;side=3.0
1777646709.187;52.946;-110.165;-110.227;1.175;1.200;0.300;triangle;side=3.0
1777646709.695;53.453;-110.573;-110.227;1.165;1.200;0.300;triangle;side=3.0
1777646710.200;53.958;-110.509;-110.227;1.156;1.200;0.300;triangle;side=3.0
1777646710.705;54.464;-110.231;-110.227;1.149;1.200;0.300;triangle;side=3.0
1777646711.211;54.970;-109.971;-110.227;1.143;1.200;0.300;triangle;side=3.0
1777646711.723;55.482;-110.085;-110.227;1.140;1.200;0.300;triangle;side=3.0
1777646712.228;55.987;-110.380;-110.227;1.138;1.200;0.300;triangle;side=3.0
1777646712.736;56.495;-110.367;-110.227;1.137;1.200;0.300;triangle;side=3.0
1777646713.244;57.002;-110.120;-110.227;1.138;1.200;0.300;triangle;side=3.0
1777646713.749;57.507;-110.109;-110.227;1.141;1.200;0.300;triangle;side=3.0
1777646714.255;58.014;-110.342;-110.227;1.143;1.200;0.300;triangle;side=3.0
1777646714.760;58.518;-110.336;-110.227;1.145;1.200;0.300;triangle;side=3.0
1777646715.265;59.024;-110.109;-110.227;1.147;1.200;0.300;triangle;side=3.0
1777646715.772;59.531;-110.150;-110.227;1.150;1.200;0.300;triangle;side=3.0
1777646716.279;60.038;-110.380;-110.227;1.152;1.200;0.300;triangle;side=3.0
1777646716.786;60.545;-110.298;-110.227;1.153;1.200;0.300;triangle;side=3.0
1777646717.292;61.051;-110.089;-110.227;1.153;1.200;0.300;triangle;side=3.0
